word,syllables,count_syllables
10010010010,10-010-010-010,4
10010,10-010,2
101,1-01,2
10101001,1-01-010-01,4
10100101,1-010-01-01,4
1001001010,10-01-001-010,4
1001001010010,10-01-001-010-010,5
100100010010,10-0100-010-010,4
100100100,10-01-00100,3
10010,10-010,2
10010-10010,10-010-10-010,4
10010-1010,10-010-1-010,4
10010-1010,10-010-1-010,4
10010-01010,10-010-01-010,4
10010-010010,10-010-010-010,4
10010-010010,10-010-010-010,4
1001001010,10-010-01-010,4
100100101,10-010-01-01,4
10010010,10-010-010,3
100100101,10-010-01-01,4
1001001010,10-010-01-010,4
10010010,10-010-010,3
1001001010,10-010-01-010,4
10010010010010,10-010-01-0010-010,5
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
1001001001010,10-010-010-01-010,5
10010010010010,10-010-010-010-010,5
1001001010,10-010-01-010,4
1001001010010,10-010-01-010-010,5
10010010010,10-010-010-010,4
1001001010,10-010-01-010,4
10010010,10-010-010,3
10010010010,10-010-01-0010,4
100100101,10-010-01-01,4
1001001010100,10-010-01-01-0100,5
1001001010,10-010-01-010,4
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
1001001010,10-010-01-010,4
10010010,10-010-010,3
1010-01010,1-010-01-010,4
101010010,1-01-010-010,4
10101010010,1-01-01-010-010,5
101010010,1-01-010-010,4
101010,1-01-010,3
1010010,1-010-010,3
1010010010,1-010-010-010,4
1010010,1-010-010,3
10101001,1-01-010-01,4
1010010010,1-01-0010-010,4
101010,1-01-010,3
101010010,1-01-010-010,4
1010010,1-010-010,3
1010010010,1-010-010-010,4
1010010,1-010-010,3
10100101010,1-010-01-01-010,5
101001010,1-010-01-010,4
101001010,1-010-01-010,4
1010010010,1-010-010-010,4
101001010,1-010-01-010,4
101010,1-01-010,3
101010010,1-01-010-010,4
1010,1-010,2
1010010010,1-010-010-010,4
101010,1-01-010,3
1010010,1-010-010,3
101001010,1-010-01-010,4
1010010010,1-010-010-010,4
101001010,1-010-01-010,4
101010,1-01-010,3
101010,1-01-010,3
101001,1-010-01,3
10100101001,1-010-01-010-01,5
1010010010,1-010-010-010,4
1010010,1-010-010,3
101001,1-010-01,3
101001010010,1-010-01-010-010,5
101001010,1-010-01-010,4
101001010,1-010-01-010,4
1010010010,1-010-010-010,4
101001010,1-010-01-010,4
101010,1-01-010,3
1010,1-010,2
1010-1010,1-010-1-010,4
101001010,1-010-01-010,4
1010010,1-010-010,3
101001010,1-010-01-010,4
101001010010,1-010-01-010-010,5
1010010010,1-010-010-010,4
1010010,1-010-010,3
101,1-01,2
1010,1-010,2
1010-10010,1-010-10-010,4
1010-0100,1-010-0100,3
1010010,1-010-010,3
101010,1-01-010,3
101010-010110,1-01-010-01-01-10,6
101010-1001010,1-01-010-10-01-010,6
101010-01001010,1-01-010-010-01-010,6
101010-0101010,1-01-010-01-01-010,6
101010-0101010,1-01-010-01-01-010,6
101010-010010010010,1-01-010-010-010-010-010,7
101010-01001010,1-01-010-010-01-010,6
10101001001010,1-01-010-010-01-010,6
101010010010010,1-01-010-010-010-010,6
10101010,1-01-01-010,4
1010101001,1-01-01-010-01,5
1010101001010,1-01-01-010-01-010,6
10101010010101,1-01-01-010-01-01-01,7
1010101001010,1-01-01-010-01-010,6
1010101001010,1-01-01-010-01-010,6
1010101001010010,1-01-01-010-01-010-010,7
101001,1-010-01,3
101001010,1-010-01-010,4
10100101,1-010-01-01,4
1010010,1-010-010,3
1010010010010,1-010-010-010-010,5
101001001001,1-010-010-010-01,5
1010010010,1-010-010-010,4
1010,1-010,2
1010010,1-010-010,3
101011,1-01-01-1,4
1010010101,1-010-01-01-01,5
1010,1-010,2
101010010,1-01-010-010,4
101010010,1-01-010-010,4
101010,1-01-010,3
101010,1-01-010,3
1010010,1-010-010,3
10100100110,1-010-010-01-10,5
10100100101,1-010-010-01-01,5
1010010010101010,1-010-010-01-01-01-010,7
10100100101010010,1-010-010-01-01-01-0010,7
1010010,1-010-010,3
1010010,1-010-010,3
1010010100,1-010-01-0100,4
1010,1-010,2
1010-1010,1-010-1-010,4
10101-10101,1-01-01-1-01-01,6
1010010,1-010-010,3
1010010010,1-010-010-010,4
10100100101,1-010-010-01-01,5
101010-101010,1-01-010-1-01-010,6
101010-101010,1-01-010-1-01-010,6
101010-1010010,1-01-010-1-010-010,6
101010,1-01-010,3
101010010,1-01-010-010,4
1010010,1-010-010,3
101001010010,1-010-01-010-010,5
101001010,1-010-01-010,4
1010010010,1-010-010-010,4
101001010,1-010-01-010,4
101010,1-01-010,3
101010010,1-01-010-010,4
101010010010,1-01-010-010-010,5
10101,1-01-01,3
1001001,10-010-01,3
10010010,10-010-010,3
1001010100,10-01-01-0100,4
1001010,10-01-010,3
1001010010,10-01-010-010,4
100110,10-01-10,3
10010010,10-010-010,3
1010010,1-010-010,3
1010010010,1-010-010-010,4
1010010,1-010-010,3
10101010010,1-01-01-010-010,5
101010,1-01-010,3
101010,1-01-010,3
1010110010,1-01-01-10-010,5
10101010010101,1-01-01-010-01-01-01,7
1010101,1-01-01-01,4
1010101101,1-01-01-01-1-01,6
10101010101,1-01-01-01-01-01,6
10101010101,1-01-01-01-01-01,6
1010101010010,1-01-01-01-010-010,6
10101010,1-01-01-010,4
1010101001010010,1-01-01-010-01-010-010,7
10101010001010010,1-01-01-0100-01-010-010,7
10100101,1-010-01-01,4
10100101,1-010-01-01,4
10010101,10-01-01-01,4
101-0101,1-01-01-01,4
10110101,1-01-1-01-01,5
101101010,1-01-1-01-010,5
10110010,1-01-10-010,4
1010,1-010,2
10101,1-01-01,3
1010010,1-010-010,3
1010101,1-01-01-01,4
101010,1-01-010,3
10101001,1-01-010-01,4
10101001010,1-01-010-01-010,5
101010010,1-01-010-010,4
1010,1-010,2
101010,1-01-010,3
1010010,1-010-010,3
101010101,1-01-01-01-01,5
101010,1-01-010,3
1010,1-010,2
101001010,1-010-01-010,4
1010010,1-010-010,3
101001010,1-010-01-010,4
1010010010,1-010-010-010,4
1010010,1-010-010,3
1010010,1-010-010,3
10101010,1-01-01-010,4
1010,1-010,2
1010-0101,1-010-01-01,4
1010-101,1-010-1-01,4
101001,1-010-01,3
1010010,1-010-010,3
1010,1-010,2
100,100,1
100-1001010,100-10-01-010,4
100-10010,100-10-010,3
100101,10-01-01,3
10010,10-010,2
1001010001010,10-01-0100-01-010,5
1001010001010,10-01-0100-01-010,5
1001010001010010,10-01-0100-01-010-010,6
100101000100101,10-01-0100-010-01-01,6
1001010,10-01-010,3
1001010010,10-01-010-010,4
10010100100001,10-01-010-01-00001,5
10010010,10-010-010,3
1001,10-01,2
101,1-01,2
10110,1-01-10,3
101010,1-01-010,3
10101001,1-01-010-01,4
10101001010,1-01-010-01-010,5
101010010010,1-01-010-010-010,5
101010010010010,1-01-010-010-010-010,6
101010010010101,1-01-010-010-01-01-01,7
1010100101,1-01-010-01-01,5
101010010,1-01-010-010,4
101010010010,1-01-010-010-010,5
10101001010,1-01-010-01-010,5
1010100101,1-01-010-01-01,5
10101001010,1-01-010-01-010,5
101010,1-01-010,3
10101010,1-01-01-010,4
1010,1-010,2
101001010,1-010-01-010,4
1010010,1-010-010,3
101010,1-01-010,3
101010,1-01-010,3
10101010,1-01-01-010,4
10101001,1-01-010-01,4
10101001010,1-01-010-01-010,5
101010010101,1-01-010-01-01-01,6
10101001,1-01-010-01,4
101010010,1-01-010-010,4
101010010010,1-01-010-010-010,5
10101,1-01-01,3
10010010,10-010-010,3
10010,10-010,2
10010-010010,10-010-010-010,4
10010010,10-010-010,3
10010010010,10-010-010-010,4
10010010,10-010-010,3
100101010,10-01-01-010,4
10010100101010010,10-01-010-01-01-010-010,7
1001010101010,10-01-01-01-01-010,6
10010101001010010,10-01-01-010-01-010-010,7
1001010101010,10-01-01-01-01-010,6
1001010110010,10-01-01-01-10-010,6
10010,10-010,2
10010100,10-01-0100,3
1001010,10-01-010,3
10010010010,10-010-010-010,4
1001001,10-010-01,3
10010010,10-010-010,3
10010010,10-010-010,3
10010010,10-010-010,3
100100100010,10-010-0100-010,4
10010010,10-010-010,3
10010001010,10-0100-01-010,4
100100010010,10-0100-01-0010,4
1001000101001,10-0100-01-010-01,5
100100010,10-0100-010,3
10010001001,10-0100-010-01,4
1001000110,10-0100-01-10,4
1001000101,10-0100-01-01,4
100100010101001,10-0100-01-01-010-01,6
101,1-01,2
1010010,1-010-010,3
1010,1-010,2
1010010,1-010-010,3
100100101,10-010-01-01,4
10010010,10-010-010,3
100100100010,10-010-0100-010,4
10010010,10-010-010,3
100100110,10-010-01-10,4
10010011010100101,10-010-01-1-01-010-01-01,8
1001010,10-01-010,3
1001010010,10-01-010-010,4
1001010101,10-01-01-01-01,5
10010,10-010,2
10010010,10-010-010,3
10010010100101,10-010-01-010-01-01,6
10010,10-010,2
10010010,10-010-010,3
10010010,10-010-010,3
10010010,10-010-010,3
1001000,10-01000,2
1001000101,10-0100-01-01,4
10010010,10-010-010,3
10010100,10-01-0100,3
10010100010,10-01-0100-010,4
1101010110100,1-1-01-01-01-1-0100,7
1101010,1-1-01-010,4
110100101,1-1-010-01-01,5
110100101,1-1-010-01-01,5
1101,1-1-01,3
1101010010101010,1-1-01-010-01-01-01-010,8
11010100100101,1-1-01-010-010-01-01,7
11010101,1-1-01-01-01,5
1101011010101,1-1-01-01-1-01-01-01,8
110101100010,1-1-01-01-100-010,6
11010110,1-1-01-01-10,5
11010010,1-1-010-010,4
1101001,1-1-010-01,4
110101001,1-1-01-010-01,5
1101010,1-1-01-010,4
11010101,1-1-01-01-01,5
1101010001010,1-1-01-0100-01-010,6
11010100010,1-1-01-0100-010,5
11010101010,1-1-01-01-01-010,6
110101010101,1-1-01-01-01-01-01,7
11010010,1-1-010-010,4
1101010101,1-1-01-01-01-01,6
110101000,1-1-01-01000,4
1101010010,1-1-01-010-010,5
11010010,1-1-010-010,4
1101001001,1-1-010-010-01,5
1101010101,1-1-01-01-01-01,6
1101010,1-1-01-010,4
11010101,1-1-01-01-01,5
110101011001010,1-1-01-01-01-10-01-010,8
11010101011010100,1-1-01-01-01-01-1-01-0100,9
110101010010101,1-1-01-01-010-01-01-01,8
1101010100100100101,1-1-01-01-010-010-010-01-01,9
11010101010101,1-1-01-01-01-01-01-01,8
1101010101001001,1-1-01-01-01-010-010-01,8
1101010101010,1-1-01-01-01-01-010,7
1101010100101,1-1-01-01-010-01-01,7
11010101001001,1-1-01-01-010-010-01,7
1101010101010010101,1-1-01-01-01-01-010-01-01-01,10
1101010,1-1-01-010,4
11010101101010101,1-1-01-01-01-1-01-01-01-01,10
1101010,1-1-01-010,4
1101010010,1-1-01-010-010,5
1101011010101,1-1-01-01-1-01-01-01,8
110101101010,1-1-01-01-1-01-010,7
1101011010101,1-1-01-01-1-01-01-01,8
11010010,1-1-010-010,4
11010010101,1-1-010-01-01-01,6
1101001001,1-1-010-010-01,5
1101110101010,1-1-01-1-1-01-01-010,8
110111010100101,1-1-01-1-1-01-010-01-01,9
1101110010,1-1-01-1-10-010,6
1101110101010101,1-1-01-1-1-01-01-01-01-01,10
11011001001010010,1-1-01-10-010-01-010-010,8
110101001,1-1-01-010-01,5
11010010,1-1-010-010,4
1101010010,1-1-01-010-010,5
11010100,1-1-01-0100,4
1101010,1-1-01-010,4
1101010,1-1-01-010,4
110101010,1-1-01-01-010,5
1101010101,1-1-01-01-01-01,6
11010100101,1-1-01-010-01-01,6
1101010010,1-1-01-010-010,5
110101001010,1-1-01-010-01-010,6
110101001010100,1-1-01-010-01-01-0100,7
110101010,1-1-01-01-010,5
11010100,1-1-01-0100,4
1101010010,1-1-01-010-010,5
11010100101,1-1-01-010-01-01,6
110101010101,1-1-01-01-01-01-01,7
110101010,1-1-01-01-010,5
110101010,1-1-01-01-010,5
11010,1-1-010,3
110101010100110,1-1-01-01-01-010-01-10,8
110101010100101,1-1-01-01-01-010-01-01,8
11010100,1-1-01-0100,4
11010100101,1-1-01-010-01-01,6
1101010101,1-1-01-01-01-01,6
11010010,1-1-010-010,4
1101001001,1-1-010-010-01,5
110101001,1-1-01-010-01,5
1101010101,1-1-01-01-01-01,6
11010100,1-1-01-0100,4
1101001010100101,1-1-010-01-01-010-01-01,8
110101001010,1-1-01-010-01-010,6
110101011010010,1-1-01-01-01-1-010-010,8
1101010110100101,1-1-01-01-01-1-010-01-01,9
110101001001,1-1-01-010-010-01,6
11010100101,1-1-01-010-01-01,6
11010101010,1-1-01-01-01-010,6
1101010,1-1-01-010,4
110101001010,1-1-01-010-01-010,6
110100100101,1-1-010-010-01-01,6
11010010,1-1-010-010,4
11010010101,1-1-010-01-01-01,6
1101001010010,1-1-010-01-010-010,6
110101010,1-1-01-01-010,5
1101001001,1-1-010-010-01,5
110101001010,1-1-01-010-01-010,6
1101010010,1-1-01-010-010,5
1101010010,1-1-01-010-010,5
11010100,1-1-01-0100,4
110101010101,1-1-01-01-01-01-01,7
1101010010100,1-1-01-010-01-0100,6
1101010101,1-1-01-01-01-01,6
1101001000100,1-1-010-0100-0100,5
11010010100,1-1-010-01-0100,5
1101010110,1-1-01-01-01-10,6
1101010010,1-1-01-010-010,5
1101010,1-1-01-010,4
110101001010101,1-1-01-010-01-01-01-01,8
1010101,1-01-01-01,4
1010101,1-01-01-01,4
1010101,1-01-01-01,4
101001,1-010-01,3
101001010,1-010-01-010,4
101001010,1-010-01-010,4
101010,1-01-010,3
10101001,1-01-010-01,4
1010101,1-01-01-01,4
10101010,1-01-01-010,4
101010,1-01-010,3
1010100,1-01-0100,3
1010100010,1-01-0100-010,4
10101000101,1-01-0100-01-01,5
100100,10-0100,2
10010100,10-01-0100,3
100101010,10-01-01-010,4
100100,10-0100,2
10010010,10-010-010,3
100100100101,10-010-010-01-01,5
100100010010010,10-0100-010-010-010,5
10010001,10-0100-01,3
100100010,10-0100-010,3
1001010,10-01-010,3
10010100101,10-01-010-01-01,5
1001010010,10-01-010-010,4
100010101,100-01-01-01,4
1001001,10-010-01,3
1001001010,10-010-01-010,4
10010,10-010,2
10010010010,10-010-010-010,4
10010010,10-010-010,3
100010,10-0010,2
10001001,10-0010-01,3
1000100101010,10-0010-01-01-010,5
10001001010,10-0010-01-010,4
1000101,10-001-01,3
10001010010010,10-001-010-010-010,5
10001010,10-001-010,3
100010010,10-0010-010,3
10101010010,1-01-01-010-010,5
1010,1-010,2
10101,1-01-01,3
10100101,1-010-01-01,4
10101,1-01-01,3
1010010010,1-010-010-010,4
10010,10-010,2
10010,10-010,2
1001010,10-01-010,3
100101001,10-01-010-01,4
1001010010,10-01-010-010,4
1010101,1-01-01-01,4
101010010,1-01-010-010,4
1010100,1-01-0100,3
1010100010,1-01-0100-010,4
10010010010,10-01-0010-010,4
100101100,10-01-01-100,4
10010101,10-01-01-01,4
100101010,10-01-01-010,4
100101010010,10-01-01-010-010,5
100101010,10-01-01-010,4
10010100010,10-01-0100-010,4
10010101010,10-01-01-01-010,5
10010101010010,10-01-01-01-010-010,6
1001010,10-01-010,3
1001010101,10-01-01-01-01,5
10010,10-010,2
10010,10-010,2
10010,10-010,2
10010,10-010,2
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
100101,10-01-01,3
10010101,10-01-01-01,4
10010101010,10-01-01-01-010,5
1001010,10-01-010,3
100101010010,10-01-01-010-010,5
100101010,10-01-01-010,4
100101010,10-01-01-010,4
100101010010010,10-01-01-010-010-010,6
100101010010,10-01-01-010-010,5
100101010,10-01-01-010,4
10010,10-010,2
1001001,10-010-01,3
1001001010,10-010-01-010,4
10010010,10-01-0010,3
10010010010,10-01-0010-010,4
10010010,10-010-010,3
10010010101,10-010-01-01-01,5
1001001010,10-010-01-010,4
1001001,10-010-01,3
10010,10-010,2
10010-0101010,10-010-01-01-010,5
1001001,10-010-01,3
100100101001,10-010-01-010-01,5
10010010010010,10-010-01-0010-010,5
1001001001001010,10-010-01-0010-01-010,6
1001001010,10-010-01-010,4
10010010010,10-010-010-010,4
1001001010,10-010-01-010,4
1001001,10-010-01,3
100,100,1
100-10010,100-1-0010,3
100-010101,100-01-01-01,4
100-010,100-010,2
100-010101,100-01-01-01,4
1001,10-01,2
1001010,10-01-010,3
100101,10-01-01,3
100101010,10-01-01-010,4
100101010010,10-01-01-010-010,5
100101010,10-01-01-010,4
100101010,10-01-01-010,4
100,100,1
1000101,100-01-01,3
10010,10-010,2
1001001,10-010-01,3
1001001010,10-010-01-010,4
10010010,10-010-010,3
10010010010,10-010-010-010,4
10010,10-010,2
100101010,10-01-01-010,4
10010010,10-010-010,3
10010,10-010,2
10010010,10-010-010,3
1010,1-010,2
101,1-01,2
1010100101,1-01-010-01-01,5
10100101010,1-010-01-01-010,5
10101010,1-01-01-010,4
1010101010010,1-01-01-01-010-010,6
10101,1-01-01,3
1010101,1-01-01-01,4
1010,1-010,2
1010-1010,1-010-1-010,4
1010-01010,1-010-01-010,4
1010-0101001,1-010-01-010-01,5
10101001,1-01-010-01,4
1010010001,1-010-0100-01,4
101001,1-010-01,3
101001,1-010-01,3
101001-0101001,1-010-01-01-010-01,6
1010,1-010,2
10101,1-01-01,3
10101010100,1-01-01-01-0100,5
10100,1-0100,2
10100,1-0100,2
10100010,1-0100-010,3
10100101,1-010-01-01,4
10100101,1-010-01-01,4
1000010101010,1-00001-01-01-010,5
100001010100101,1-00001-01-010-01-01,6
10000101010010,1-00001-01-010-010,5
1000010101010010,1-00001-01-01-010-010,6
10000101010010,1-00001-01-010-010,5
100010100101,100-01-010-01-01,5
100010100101,100-01-010-01-01,5
1010010010101,1-010-010-01-01-01,6
1011001010,1-01-10-01-010,5
10110010101,1-01-10-01-01-01,6
1011010101,1-01-1-01-01-01,6
1011010,1-01-1-010,4
10110101010,1-01-1-01-01-010,6
10101010,1-01-01-010,4
10101010010,1-01-01-010-010,5
1010100110,1-01-010-01-10,5
1010100101,1-01-010-01-01,5
1010100101-0010101001,1-01-010-01-01-001-01-010-01,9
10100010101,1-0100-01-01-01,5
10100100,1-010-0100,3
1010010101,1-010-01-01-01,5
1010010100,1-010-01-0100,4
101001010,1-010-01-010,4
1001010,10-01-010,3
100101010,10-01-01-010,4
100101010010,10-01-01-010-010,5
1001010100110,10-01-01-010-01-10,6
1001010100101,10-01-01-010-01-01,6
100101010,10-01-01-010,4
100101010-01010,10-01-01-010-01-010,6
100100101,10-010-01-01,4
10010010,10-010-010,3
10010010,10-010-010,3
10010010010,10-010-010-010,4
100100100100,10-010-010-0100,4
1001001010,10-010-01-010,4
10010101,10-01-01-01,4
101010010101010,1-01-010-01-01-01-010,7
1010101,1-01-01-01,4
1010100,1-01-0100,3
101010,1-01-010,3
1010101,1-01-01-01,4
10101,1-01-01,3
10101010101,1-01-01-01-01-01,6
10101010,1-01-01-010,4
10010101,10-01-01-01,4
10010010100,10-010-01-0100,4
100101010010010,10-01-01-010-010-010,6
10010101001010,10-01-01-010-01-010,6
10010,10-010,2
1001001,10-010-01,3
1001010,10-01-010,3
1001010,10-01-010,3
100101001,10-01-010-01,4
1001010010,10-01-010-010,4
10010100101,10-01-010-01-01,5
10010100101,10-01-010-01-01,5
1001010,10-01-010,3
10010010010,10-010-010-010,4
10010010,10-010-010,3
10010010010,10-010-010-010,4
100100101,10-010-01-01,4
10010010101,10-010-01-01-01,5
10010010101010,10-010-01-01-01-010,6
10010010,10-010-010,3
10010010010,10-010-010-010,4
100101010,10-01-01-010,4
10010100101,10-01-010-01-01,5
10010101,10-01-01-01,4
1001011010,10-01-01-1-010,5
100101101010,10-01-01-1-01-010,6
1001011010101,10-01-01-1-01-01-01,7
100101100101010101,10-01-01-10-01-01-01-01-01,9
1001011001010,10-01-01-10-01-010,6
1001010010,10-01-010-010,4
10010101010,10-01-01-01-010,5
100101010101,10-01-01-01-01-01,6
10010101,10-01-01-01,4
100110100010101,10-01-1-0100-01-01-01,7
100101001,10-01-010-01,4
10010101001010,10-01-01-010-01-010,6
100101010,10-01-01-010,4
1001010101,10-01-01-01-01,5
1001010,10-01-010,3
10010110010101,10-01-01-10-01-01-01,7
100101001010101,10-01-010-01-01-01-01,7
10011001000110,10-01-10-0100-01-10,6
100110010,10-01-10-010,4
10011001010,10-01-10-01-010,5
10011001001010010,10-01-10-010-01-010-010,7
1001100101010,10-01-10-01-01-010,6
100110010101010,10-01-10-01-01-01-010,7
100110010100110,10-01-10-01-010-01-10,7
100110010100101,10-01-10-01-010-01-01,7
100101001,10-01-010-01,4
100101001010,10-01-010-01-010,5
100101001010,10-01-010-01-010,5
10010010010,10-010-010-010,4
1001010001001,10-01-0100-010-01,5
100101001010,10-01-010-01-010,5
10010101101010,10-01-01-01-1-01-010,7
10010101101010,10-01-01-01-1-01-010,7
1001010110100101,10-01-01-01-1-010-01-01,8
10010101101010,10-01-01-01-1-01-010,7
1001010110101010,10-01-01-01-1-01-01-010,8
10010101101010101,10-01-01-01-1-01-01-01-01,9
10010100,10-01-0100,3
10010101010,10-01-01-01-010,5
10010100101,10-01-010-01-01,5
10010100101010,10-01-010-01-01-010,6
1001010,10-01-010,3
1001010-100101010,10-01-010-10-01-01-010,7
100101010,10-01-01-010,4
1001010101,10-01-01-01-01,5
1001010010,10-01-010-010,4
10011010010010,10-01-1-010-010-010,6
1001100010,10-01-100-010,4
100110001001010,10-01-100-010-01-010,6
100101000,10-01-01000,3
100101101010,10-01-01-1-01-010,6
10010101010,10-01-01-01-010,5
1001010110,10-01-01-01-10,5
1001010,10-01-010,3
100101010,10-01-01-010,4
10010101010,10-01-01-01-010,5
1001010010010,10-01-010-010-010,5
1001010001010,10-01-010-001-010,5
1001010010,10-01-010-010,4
10010100101,10-01-010-01-01,5
10010100101010,10-01-010-01-01-010,6
100101001010101,10-01-010-01-01-01-01,7
100101001010,10-01-010-01-010,5
100101001001010,10-01-010-010-01-010,6
100101001001010010,10-01-010-010-01-010-010,7
10011010001,10-01-1-0100-01,5
100101010010,10-01-01-010-010,5
1001011010,10-01-01-1-010,5
