word,syllables
ablahlawmoq,ab-lah-law-moq
ablahlik,ab-lah-lik
ablahnamo,ab-lah-na-mo
ablahona,ab-la-ho-na
ablaktirovka,ab-lak-ti-rov-ka
ablaq,ab-laq
ablastika,ab-las-ti-ka
ablefariya,ab-le-fa-ri-ya
ablyativ,abl-ya-tiv
ablyatsiya,abl-yat-si-ya
abo,a-bo
abobil,a-bo-bil
abod,ab-od
abolitsionist,a-bo-lit-si-o-nist
abolitsionizm,a-bo-lit-si-o-nizm
abolitsiya,a-bo-lit-si-ya
abonement,a-bo-ne-ment
abonent,a-bo-nent
abonentlik,a-bo-nent-lik
abordaj,a-bor-daj
aborigen,a-bo-ri-gen
aborigenlar,a-bo-ri-gen-lar
abort,a-bort
abortiv,a-bor-tiv
abr,abr
abraw,ab-raw
abrazion,ab-ra-zi-on
abrazit,ab-ra-zit
abraziv,ab-ra-ziv
abrazivlar,ab-ra-ziv-lar
abraziya,ab-ra-zi-ya
abrband,abr-band
abrbandi,abr-ban-di
abrbandlik,abr-band-lik
abrbandwi,abr-band-wi
abrbandwilik,abr-band-wi-lik
abrbandxona,abr-band-xo-na
abreklar,ab-rek-lar
abriaxanit,ab-ri-a-xa-nit
abris,ab-ris
abriwim,ab-ri-wim
abriwimdoz,ab-ri-wim-doz
abriwimi,ab-ri-wi-mi
abro,ab-ro
abrogatsiya,ab-ro-gat-si-ya
abrokamon,ab-ro-ka-mon
abror,ab-ror
absans,ab-sans
absenteist,ab-sen-te-ist
absenteizm,ab-sen-te-izm
absit,ab-sit
absolyut,ab-sol-yut
absolyutizm,ab-sol-yu-tizm
absolyutwi,ab-sol-yut-wi
absorbat,ab-sor-bat
absorbent,ab-sor-bent
absorber,ab-sor-ber
absorblamoq,ab-sorb-la-moq
absorblaniw,ab-sorb-la-niw
absorblaw,ab-sorb-law
absorblovwi,ab-sorb-lov-wi
absorbsiometr,ab-sorb-si-o-metr
absorbsiometriya,ab-sorb-si-o-met-ri-ya
absorbsion,ab-sorb-si-on
absorbsiya,ab-sorb-si-ya
absorbsiyaviy,ab-sorb-si-ya-viy
abssess,abs-sess
abssesslanuvwi,abs-sess-la-nuv-wi
abssissa,abs-sis-sa
abstinensiya,abs-ti-nen-si-ya
abstinent,abs-ti-nent
abstraksionist,ab-strak-si-o-nist
abstraksionistik,ab-strak-si-o-nis-tik
abstraksionizm,ab-strak-si-o-nizm
abstraksiya,ab-strak-si-ya
abstraksiyalaw,ab-strak-si-ya-law
abstrakt,ab-strakt
abstraktlamoq,ab-strakt-la-moq
abstraktlanmoq,ab-strakt-lan-moq
abstraktlaw,ab-strakt-law
abstraktlawiw,ab-strakt-la-wiw
abstraktlawtirilmoq,ab-strakt-law-ti-ril-moq
abstraktlawtiriw,ab-strakt-law-ti-riw
abstraktlawtirmoq,ab-strakt-law-tir-moq
abstraktlawtiruv,ab-strakt-law-ti-ruv
abstraktlik,ab-strakt-lik
absurd,ab-surd
abtar,ab-tar
abtarlik,ab-tar-lik
abu,a-bu
abuwqa,a-buw-qa
abvob,ab-vob
abxaz,ab-xaz
abxaziyalik,ab-xa-zi-ya-lik
abxazlar,ab-xaz-lar
abxazwa,ab-xaz-wa
abxazwalamoq,ab-xaz-wa-la-moq
abxazwalawtiriw,ab-xaz-wa-law-ti-riw
abyot,ab-yot
abzal,ab-zal
abzallamoq,ab-zal-la-moq
abzallanmoq,ab-zal-lan-moq
abzallov,ab-zal-lov
abzalsoz,ab-zal-soz
abzalsozlik,ab-zal-soz-lik
abzas,ab-zas
ada,a-da
adab,a-dab
adabgoh,a-dab-goh
adabiy,a-da-biy
adabiylawtiriw,a-da-biy-law-ti-riw
adabiylawtirmoq,a-da-biy-law-tir-moq
adabiyot,a-da-bi-yot
adabiyotlararo,a-da-bi-yot-la-ra-ro
adabiyotsevar,a-da-bi-yot-se-var
adabiyotwi,a-da-bi-yot-wi
adabiyotwilik,a-da-bi-yot-wi-lik
adabiyotwunos,a-da-bi-yot-wu-nos
adabiyotwunoslik,a-da-bi-yot-wu-nos-lik
adabli,a-dab-li
adablilik,a-dab-li-lik
adabnoma,a-dab-no-ma
adabsiz,a-dab-siz
adabsizlanmoq,a-dab-siz-lan-moq
adabsizlarwa,a-dab-siz-lar-wa
adabsizlik,a-dab-siz-lik
adad,a-dad
adadsiz,a-dad-siz
adajio,a-da-ji-o
adaktiliya,a-dak-ti-li-ya
adam,a-dam
adamantan,a-da-man-tan
adamellit,a-da-mel-lit
adamin,a-da-min
adamit,a-da-mit
adamsit,a-dam-sit
adaptatsion,a-dap-tat-si-on
adaptatsiya,a-dap-tat-si-ya
adaptatsiyalamoq,a-dap-tat-si-ya-la-moq
akslanuv,aks-la-nuv
akslik,aks-lik
aksoid,ak-so-id
adaptatsiyalawan,a-dap-tat-si-ya-la-wan
adapter,a-dap-ter
adaptiv,a-dap-tiv
adaptometr,a-dap-to-metr
adasi,a-da-si
adaw,a-daw
adawgan,a-daw-gan
adawganlik,a-daw-gan-lik
adawgannamo,a-daw-gan-na-mo
adawiw,a-da-wiw
adawiwlik,a-da-wiw-lik
adawmoq,a-daw-moq
adawtirilmoq,a-daw-ti-ril-moq
adawtiriw,a-daw-ti-riw
adawtirmoq,a-daw-tir-moq
adawtiruv,a-daw-ti-ruv
adawuv,a-da-wuv
adawuvwan,a-da-wuv-wan
adawuvwanlik,a-da-wuv-wan-lik
addenda,ad-den-da
addendum,ad-den-dum
addisonizm,ad-di-so-nizm
additiv,ad-di-tiv
additivlik,ad-di-tiv-lik
addoiy,ad-do-iy
adduktor,ad-duk-tor
adekvat,a-dek-vat
adekvatlik,a-dek-vat-lik
adelfan,a-del-fan
adelomorfik,a-de-lo-mor-fik
adenin,a-de-nin
adenit,a-de-nit
adenoidlar,a-de-no-id-lar
adenokarsinoma,a-de-no-kar-si-no-ma
adenoma,a-de-no-ma
adenomioma,a-de-no-mi-o-ma
adenopatiya,a-de-no-pa-ti-ya
adenotomiya,a-de-no-to-mi-ya
adenoviruslar,a-de-no-vi-rus-lar
adenozin,a-de-no-zin
adenozindifosfat,a-de-no-zin-di-fos-fat
adenozintrifosfat,a-de-no-zint-ri-fos-fat
adentiya,a-den-ti-ya
adermiya,a-der-mi-ya
adgeziya,ad-ge-zi-ya
adiabata,a-di-a-ba-ta
adiabatik,a-di-a-ba-tik
adiantum,a-di-an-tum
adib,a-dib
adiba,a-di-ba
adiblik,a-dib-lik
adibona,a-di-bo-na
adigey,a-di-gey
adigeylar,a-di-gey-lar
adigeywa,a-di-gey-wa
adigeywalaw,a-di-gey-wa-law
adil,a-dil
adilak,a-di-lak
adillik,a-dil-lik
adinamiya,a-di-na-mi-ya
adinol,a-di-nol
adip,a-dip
adiplamoq,a-dip-la-moq
adiplatiw,a-dip-la-tiw
adiplatmoq,a-dip-lat-moq
adiplaw,a-dip-law
adiplik,a-dip-lik
adiplov,a-dip-lov
adipozin,a-di-po-zin
adir,a-dir
adirli,a-dir-li
adirlik,a-dir-lik
adiz,a-diz
adl,adl
adliya,ad-li-ya
admin,ad-min
administrativ,ad-mi-nist-ra-tiv
administrator,ad-mi-nist-ra-tor
administratorlik,ad-mi-nist-ra-tor-lik
administratsiya,ad-mi-nist-rat-si-ya
admiral,ad-mi-ral
admirallik,ad-mi-ral-lik
admiralteystvo,ad-mi-ral-te-ystvo
adneksit,ad-nek-sit
adno,ad-no
ado,a-do
adoiy,a-do-iy
adolat,a-do-lat
adolatli,a-do-lat-li
adolatlilik,a-do-lat-li-lik
adolatparvar,a-do-lat-par-var
adolatparvarlik,a-do-lat-par-var-lik
adolatparvarona,a-do-lat-par-va-ro-na
adolatpewa,a-do-lat-pe-wa
adolatsiz,a-do-lat-siz
adolatsizlik,a-do-lat-siz-lik
adolattalab,a-do-lat-ta-lab
adolatxona,a-do-lat-xo-na
adoleskariy,a-do-les-ka-riy
adonis,a-do-nis
adonizid,a-do-ni-zid
adoq,a-doq
adoqlamoq,a-doq-la-moq
adoqsiz,a-doq-siz
adosiz,a-do-siz
adovat,a-do-vat
adovatan,a-do-va-tan
adovatkorona,a-do-vat-ko-ro-na
adovatli,a-do-vat-li
adovatsiz,a-do-vat-siz
adovatsizlik,a-do-vat-siz-lik
adovatwi,a-do-vat-wi
adovatwilik,a-do-vat-wi-lik
adoyi,a-do-yi
adramkaw,ad-ram-kaw
adras,ad-ras
adrasbof,ad-ras-bof
adrasboflik,ad-ras-bof-lik
adrasman,ad-ras-man
adrenalin,ad-re-na-lin
adrenoblokatorlar,ad-re-nob-lo-ka-tor-lar
adrenogenital,ad-re-no-ge-ni-tal
adrenokortikotrop,ad-re-no-kor-ti-kot-rop
adrenomimetik,ad-re-no-mi-me-tik
adrenoreaktiv,ad-re-no-re-ak-tiv
adres,ad-res
adresant,ad-re-sant
adresat,ad-re-sat
adreslanmoq,ad-res-lan-moq
adresli,ad-res-li
adressiz,ad-res-siz
adronlar,ad-ron-lar
adsorbat,ad-sor-bat
adsorbentlar,ad-sor-bent-lar
adsorber,ad-sor-ber
adsorblamoq,ad-sorb-la-moq
adsorblanuvwi,ad-sorb-la-nuv-wi
adsorblaw,ad-sorb-law
adsorblawan,ad-sorb-la-wan
adsorblovwi,ad-sorb-lov-wi
adsorbsion,ad-sorb-si-on
adsorbsiya,ad-sorb-si-ya
adsorbsiyalovwi,ad-sorb-si-ya-lov-wi
adu,a-du
adulyar,a-dul-yar
aduv,a-duv
aduvlik,a-duv-lik
adveksiya,ad-vek-si-ya
advektiv,ad-vek-tiv
adventistlar,ad-ven-tist-lar
adventiv,ad-ven-tiv
adverbial,ad-ver-bi-al
adverbializatsiya,ad-ver-bi-a-li-zat-si-ya
advokat,ad-vo-kat
advokatlik,ad-vo-kat-lik
advokatura,ad-vo-ka-tu-ra
advor,ad-vor
adyektiv,ad-yek-tiv
adyektivatsiya,ad-yek-ti-vat-si-ya
adyol,ad-yol
adyolbof,ad-yol-bof
adyolbop,ad-yol-bop
adyulter,ad-yul-ter
adyunkt,ad-yunkt
adyunktura,ad-yunk-tu-ra
adyustaj,ad-yus-taj
adyutant,ad-yu-tant
adyutantlik,ad-yu-tant-lik
aeraradiometr,a-e-ra-ra-di-o-metr
aerariy,a-e-ra-riy
aeratsiya,a-e-rat-si-ya
aerenxima,a-e-ren-xi-ma
aero,a-e-ro
aerobakteriyalar,a-e-ro-bak-te-ri-ya-lar
aeroballistika,a-e-ro-bal-lis-ti-ka
aerobika,a-e-ro-bi-ka
aerobiologiya,a-e-ro-bi-o-lo-gi-ya
aerobiontlar,a-e-ro-bi-ont-lar
aerobioz,a-e-ro-bi-oz
aeroblar,a-e-rob-lar
aerobli,a-e-rob-li
aerobomba,a-e-ro-bom-ba
aerobus,a-e-ro-bus
aerodinamik,a-e-ro-di-na-mik
aerodinamika,a-e-ro-di-na-mi-ka
aerodrom,a-e-rod-rom
aerofagiya,a-e-ro-fa-gi-ya
aerofiltr,a-e-ro-filtr
aerofitlar,a-e-ro-fit-lar
aeroflot,a-e-rof-lot
aeroflotwi,a-e-rof-lot-wi
aerofobiya,a-e-ro-fo-bi-ya
aerofon,a-e-ro-fon
aerofoto,a-e-ro-fo-to
aerofotoapparat,a-e-ro-fo-to-ap-pa-rat
aerofotogeodezist,a-e-ro-fo-to-ge-o-de-zist
aerofotografiya,a-e-ro-fo-tog-ra-fi-ya
aerofotogrammetriya,a-e-ro-fo-tog-ram-met-ri-ya
aerofotokamera,a-e-ro-fo-to-ka-me-ra
aerofotorazvedka,a-e-ro-fo-to-raz-ved-ka
aerofotosurat,a-e-ro-fo-to-su-rat
aerofotosxema,a-e-ro-fo-tos-xe-ma
aerofotosyomka,a-e-ro-fo-tos-yom-ka
aerofototopografiya,a-e-ro-fo-to-to-pog-ra-fi-ya
aerogel,a-e-ro-gel
aerogelioterapiya,a-e-ro-ge-li-o-te-ra-pi-ya
aerogen,a-e-ro-gen
aerogenlar,a-e-ro-gen-lar
aerogeofizika,a-e-ro-ge-o-fi-zi-ka
aerogeologik,a-e-ro-ge-o-lo-gik
aerogeologiya,a-e-ro-ge-o-lo-gi-ya
aerograf,a-e-rog-raf
aerografiya,a-e-rog-ra-fi-ya
aerogramma,a-e-rog-ram-ma
aeroionizator,a-e-ro-i-o-ni-za-tor
aeroionizatsiya,a-e-ro-i-o-ni-zat-si-ya
aeroionlaw,a-e-ro-i-on-law
aeroionoterapiya,a-e-ro-i-o-no-te-ra-pi-ya
aeroiqlimwunoslik,a-e-ro-iq-lim-wu-nos-lik
aerokarta,a-e-ro-kar-ta
aeroklub,a-e-rok-lub
aerokosmik,a-e-ro-kos-mik
aerolift,a-e-ro-lift
aerolit,a-e-ro-lit
aerolog,a-e-ro-log
aerologik,a-e-ro-lo-gik
aerologiya,a-e-ro-lo-gi-ya
aerolotsiya,a-e-ro-lot-si-ya
aeromagnit,a-e-ro-mag-nit
aeromagnitik,a-e-ro-mag-ni-tik
aeromagnitometr,a-e-ro-mag-ni-to-metr
aeromayoq,a-e-ro-ma-yoq
aerometr,a-e-ro-metr
aerometrik,a-e-ro-met-rik
aerometriya,a-e-ro-met-ri-ya
aeromexanika,a-e-ro-me-xa-ni-ka
aeromobil,a-e-ro-mo-bil
aeromotor,a-e-ro-mo-tor
aeron,a-e-ron
aeronavigatsion,a-e-ro-na-vi-gat-si-on
aeronavigatsiya,a-e-ro-na-vi-gat-si-ya
aeronavt,a-e-ro-navt
aeronavtika,a-e-ro-nav-ti-ka
aeronomiya,a-e-ro-no-mi-ya
aeroplan,a-e-rop-lan
aeroplanwi,a-e-rop-lan-wi
aeroponika,a-e-ro-po-ni-ka
aeroport,a-e-ro-port
aeropowta,a-e-ro-pow-ta
aeroprofilaktika,a-e-rop-ro-fi-lak-ti-ka
aeropurkagiw,a-e-ro-pur-ka-giw
aeroradiometrik,a-e-ro-ra-di-o-met-rik
aeroradiometriya,a-e-ro-ra-di-o-met-ri-ya
aerorazvedka,a-e-ro-raz-ved-ka
aeroreklama,a-e-ro-rek-la-ma
aerosiderit,a-e-ro-si-de-rit
aerosil,a-e-ro-sil
aerosolyariy,a-e-ro-sol-ya-riy
aerostansiya,a-e-ros-tan-si-ya
aerostat,a-e-ros-tat
aerostatika,a-e-ros-ta-ti-ka
aerostatistik,a-e-ros-ta-tis-tik
aerosurat,a-e-ro-su-rat
aerosyomka,a-e-ros-yom-ka
aerotadqiqot,a-e-ro-tad-qi-qot
aerotaksis,a-e-ro-tak-sis
aerotasvir,a-e-ro-tas-vir
aerotenk,a-e-ro-tenk
aeroterapiya,a-e-ro-te-ra-pi-ya
aerotermometr,a-e-ro-ter-mo-metr
aerotoriya,a-e-ro-to-ri-ya
aerotransport,a-e-rot-rans-port
aerotropizm,a-e-rot-ro-pizm
aerovizual,a-e-ro-vi-zu-al
aerovokzal,a-e-ro-vok-zal
aerowana,a-e-ro-wa-na
aerowawlagiw,a-e-ro-waw-la-giw
aerowawlaw,a-e-ro-waw-law
aerozol,a-e-ro-zol
aerozolterapiya,a-e-ro-zol-te-ra-pi-ya
afagiya,a-fa-gi-ya
afakiya,a-fa-ki-ya
afalina,a-fa-li-na
afandi,a-fan-di
afandilik,a-fan-di-lik
afandixon,a-fan-di-xon
afanit,a-fa-nit
afanitli,a-fa-nit-li
afaziya,a-fa-zi-ya
afelinus,a-fe-li-nus
afeliy,a-fe-liy
aferist,a-fe-rist
aferistlik,a-fe-rist-lik
aferistnamo,a-fe-rist-na-mo
affekt,af-fekt
afferent,af-fe-rent
affidevit,af-fi-de-vit
affiks,af-fiks
affiksal,af-fik-sal
affiksatsiya,af-fik-sat-si-ya
affikslawganlik,af-fiks-law-gan-lik
affiksli,af-fiks-li
affikssiz,af-fiks-siz
affinaj,af-fi-naj
affinatsiya,af-fi-nat-si-ya
affinograf,af-fi-nog-raf
affrikata,aff-ri-ka-ta
afganda,af-gan-da
afgandalik,af-gan-da-lik
afgon,af-gon
afgoni,af-go-ni
afgonistonlik,af-go-nis-ton-lik
afgoniy,af-go-niy
afgonlar,af-gon-lar
afgonwa,af-gon-wa
afgonwalamoq,af-gon-wa-la-moq
afgonwalaw,af-gon-wa-law
afgor,af-gor
afgorlanmoq,af-gor-lan-moq
afgorlik,af-gor-lik
afidofaglar,a-fi-do-fag-lar
afif,a-fif
afifa,a-fi-fa
afilliya,a-fil-li-ya
afitsidlar,a-fit-sid-lar
afiwa,a-fi-wa
afkor,af-kor
aflok,af-lok
aflotun,af-lo-tun
aflotunlik,af-lo-tun-lik
aflotunwa,af-lo-tun-wa
afol,a-fol
afoniya,a-fo-ni-ya
aforistik,a-fo-ris-tik
aforizm,a-fo-rizm
aforizmlar,a-fo-rizm-lar
afrigiylar,af-ri-giy-lar
afrikaans,af-ri-ka-ans
afrikalik,af-ri-ka-lik
afrikanerlar,af-ri-ka-ner-lar
afrikanit,af-ri-ka-nit
afrikantrop,af-ri-kant-rop
afrikawa,af-ri-ka-wa
afrikawunos,af-ri-ka-wu-nos
afrikawunoslik,af-ri-ka-wu-nos-lik
afrolit,af-ro-lit
afrosiyobi,af-ro-si-yo-bi
afruz,af-ruz
afsar,af-sar
afsona,af-so-na
afsonak,af-so-nak
afsonapardoz,af-so-na-par-doz
afsonavaw,af-so-na-vaw
afsonaviy,af-so-na-viy
afsonaviylawmoq,af-so-na-viy-law-moq
afsonaviylik,af-so-na-viy-lik
afsonavor,af-so-na-vor
afsonawi,af-so-na-wi
afsonawilik,af-so-na-wi-lik
afsun,af-sun
afsunkor,af-sun-kor
afsunkorona,af-sun-ko-ro-na
afsunlamoq,af-sun-la-moq
afsunwi,af-sun-wi
afsunwilik,af-sun-wi-lik
afsurda,af-sur-da
afsus,af-sus
afsuski,af-sus-ki
afsuslanarli,af-sus-la-nar-li
afsuslaniw,af-sus-la-niw
afsuslanmoq,af-sus-lan-moq
afsuslanuv,af-sus-la-nuv
afsuslawanlik,af-sus-la-wan-lik
afsuslawansimon,af-sus-la-wan-si-mon
afsusli,af-sus-li
afsuwar,af-su-war
afsuwarlik,af-su-war-lik
aft,aft
afta,af-ta
aftidan,af-ti-dan
aftoda,af-to-da
aftodahol,af-to-da-hol
aftodahollik,af-to-da-hol-lik
aftodalik,af-to-da-lik
aftodavaw,af-to-da-vaw
afv,afv
afvnoma,afv-no-ma
afwar,af-war
afwon,af-won
afwonlamoq,af-won-la-moq
afwonlanmoq,af-won-lan-moq
afyun,af-yun
afyunkaw,af-yun-kaw
afyunkawlik,af-yun-kaw-lik
afyunwi,af-yun-wi
afyunwilik,af-yun-wi-lik
afzal,af-zal
afzaliyat,af-za-li-yat
afzallik,af-zal-lik
afzun,af-zun
afzunlik,af-zun-lik
aga,a-ga
agalaktiya,a-ga-lak-ti-ya
agalmatolit,a-gal-ma-to-lit
agamalar,a-ga-ma-lar
agamasimonlar,a-ga-ma-si-mon-lar
agami,a-ga-mi
agamiya,a-ga-mi-ya
aganamoq,a-ga-na-moq
agar,a-gar
agaramki,a-ga-ram-ki
agarda,a-gar-da
agarwandki,a-gar-wand-ki
agarwi,a-gar-wi
agat,a-gat
agava,a-ga-va
agdargiw,ag-dar-giw
agdargiwli,ag-dar-giw-li
agdargiwsiz,ag-dar-giw-siz
agdariw,ag-da-riw
agdarma,ag-dar-ma
agdarmoq,ag-dar-moq
agdartiriw,ag-dar-ti-riw
agdartirmoq,ag-dar-tir-moq
agdartmoq,ag-dart-moq
agdaruv,ag-da-ruv
agdaruvwi,ag-da-ruv-wi
agenitalizm,a-ge-ni-ta-lizm
agens,a-gens
agent,a-gent
agentlik,a-gent-lik
agentura,a-gen-tu-ra
agevziya,a-gev-zi-ya
agglyutinativ,a-gglyu-ti-na-tiv
agglyutinatsiya,a-gglyu-ti-nat-si-ya
agglyutininlar,a-gglyu-ti-nin-lar
agglyutinogenlar,a-gglyu-ti-no-gen-lar
agglyutinoskop,a-gglyu-ti-nos-kop
aggradatsiya,agg-ra-dat-si-ya
aggravatsiya,agg-ra-vat-si-ya
agidroxloriya,a-gid-rox-lo-ri-ya
agiografik,a-gi-og-ra-fik
agiografiya,a-gi-og-ra-fi-ya
agiologiya,a-gi-o-lo-gi-ya
agionim,a-gi-o-nim
agiotoponim,a-gi-o-to-po-nim
agitator,a-gi-ta-tor
agitatorlik,a-gi-ta-tor-lik
agitatsion,a-gi-tat-si-on
agitatsiya,a-gi-tat-si-ya
agitbrigada,a-gitb-ri-ga-da
agitfilm,a-git-film
agitmawina,a-git-ma-wi-na
agitpoyezd,a-git-po-yezd
agitvagon,a-git-va-gon
aglabiylar,ag-la-biy-lar
aglikon,ag-li-kon
aglomerat,ag-lo-me-rat
aglomeratlaw,ag-lo-me-rat-law
aglomeratsion,ag-lo-me-rat-si-on
aglomeratsiya,ag-lo-me-rat-si-ya
agloporit,ag-lo-po-rit
aglossiya,ag-los-si-ya
agnamoq,ag-na-moq
agnatlar,ag-nat-lar
agnatmoq,ag-nat-moq
agnawmoq,ag-naw-moq
agniyo,ag-ni-yo
agnostik,ag-nos-tik
agnostiklar,ag-nos-tik-lar
agnostitsizm,ag-nos-tit-sizm
agnostozoy,ag-nos-to-zoy
agnoziya,ag-no-zi-ya
agobakteriyalar,a-go-bak-te-ri-ya-lar
agogika,a-go-gi-ka
agometr,a-go-metr
agonik,a-go-nik
agoniya,a-go-ni-ya
agora,a-go-ra
agorafobiya,a-go-ra-fo-bi-ya
agoronim,a-go-ro-nim
agrafiya,ag-ra-fi-ya
agrammatizm,ag-ram-ma-tizm
agranulotsitlar,ag-ra-nu-lot-sit-lar
agranulotsitoz,ag-ra-nu-lot-si-toz
agrar,ag-rar
agrariy,ag-ra-riy
agrarwi,ag-rar-wi
agraymoq,ag-ray-moq
agregat,ag-re-gat
agregatlaw,ag-re-gat-law
agregatsiya,ag-re-gat-si-ya
agregatwi,ag-re-gat-wi
agregatxona,ag-re-gat-xo-na
agreman,ag-re-man
agressinlar,ag-res-sin-lar
agressiv,ag-res-siv
agressivlik,ag-res-siv-lik
agressiya,ag-res-si-ya
agressiyawi,ag-res-si-ya-wi
agressiyawilik,ag-res-si-ya-wi-lik
agressor,ag-res-sor
agressorlik,ag-res-sor-lik
agrikolit,ag-ri-ko-lit
agrikultura,ag-ri-kul-tu-ra
agrobaza,ag-ro-ba-za
agrobiolog,ag-ro-bi-o-log
agrobiologik,ag-ro-bi-o-lo-gik
agrobiologiya,ag-ro-bi-o-lo-gi-ya
agrobiotsenologiya,ag-ro-bi-ot-se-no-lo-gi-ya
agrobiotsenoz,ag-ro-bi-ot-se-noz
agrobiznes,ag-ro-biz-nes
agrobotanik,ag-ro-bo-ta-nik
agrobotanika,ag-ro-bo-ta-ni-ka
agroelektronika,ag-ro-e-lekt-ro-ni-ka
agrofirma,ag-ro-fir-ma
agrofitotsenoz,ag-ro-fi-tot-se-noz
agrofizik,ag-ro-fi-zik
agrofizika,ag-ro-fi-zi-ka
agrofon,ag-ro-fon
agrogeografiya,ag-ro-ge-og-ra-fi-ya
agrogidrologiya,ag-ro-gid-ro-lo-gi-ya
agroindustrial,ag-ro-in-dust-ri-al
agroiqlim,ag-ro-iq-lim
agroiqlimiy,ag-ro-iq-li-miy
agroiqlimwunoslik,ag-ro-iq-lim-wu-nos-lik
agroiqtisodiy,ag-ro-iq-ti-so-diy
agroiqtisodiyot,ag-ro-iq-ti-so-di-yot
agroirrigatsion,ag-ro-ir-ri-gat-si-on
agroirrigatsiya,ag-ro-ir-ri-gat-si-ya
agrokimyo,ag-ro-kim-yo
agrokimyogar,ag-ro-kim-yo-gar
agrokimyoviy,ag-ro-kim-yo-viy
agroklaster,ag-rok-las-ter
agrokorsatma,ag-ro-kor-sat-ma
agromaksimum,ag-ro-mak-si-mum
agromeliorativ,ag-ro-me-li-o-ra-tiv
agromeliorator,ag-ro-me-li-o-ra-tor
agromelioratsiya,ag-ro-me-li-o-rat-si-ya
agrometeorolog,ag-ro-me-te-o-ro-log
agrometeorologik,ag-ro-me-te-o-ro-lo-gik
agrometeorologiya,ag-ro-me-te-o-ro-lo-gi-ya
agrometr,ag-ro-metr
agrominimum,ag-ro-mi-ni-mum
agromintaqa,ag-ro-min-ta-qa
agromintaqaviy,ag-ro-min-ta-qa-viy
agronom,ag-ro-nom
agronomik,ag-ro-no-mik
agronomiya,ag-ro-no-mi-ya
agronomlik,ag-ro-nom-lik
agroohaktowlar,ag-ro-o-hak-tow-lar
agroormon,ag-ro-or-mon
agroormonwilik,ag-ro-or-mon-wi-lik
agropunkt,ag-ro-punkt
agroqoidalar,ag-ro-qo-i-da-lar
agrorudalar,ag-ro-ru-da-lar
agrosanoat,ag-ro-sa-no-at
agrosex,ag-ro-sex
agrosiyosat,ag-ro-si-yo-sat
agrotadbirlar,ag-ro-tad-bir-lar
agrotargibot,ag-ro-tar-gi-bot
agrotexnik,ag-ro-tex-nik
agrotexnika,ag-ro-tex-ni-ka
